epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,119.525,0.43738,0.28863,0.89388,0.99115,1,0.995,0.7713,0.67839,0.29567,1.0832,0.0003368,0.0003368,0.0003368
86,120.957,0.41876,0.2879,0.8845,0.99101,1,0.995,0.7993,0.66549,0.3035,1.08796,0.000317,0.000317,0.000317
87,122.283,0.45138,0.28677,0.91238,0.99104,1,0.995,0.827,0.63387,0.31431,1.08211,0.0002972,0.0002972,0.0002972
88,123.594,0.36321,0.27174,0.86817,0.9911,1,0.995,0.799,0.60943,0.30032,1.09639,0.0002774,0.0002774,0.0002774
89,125.047,0.4106,0.26968,0.90568,0.9912,1,0.995,0.82033,0.6095,0.28373,1.08952,0.0002576,0.0002576,0.0002576
90,126.491,0.38783,0.27355,0.88957,0.99106,1,0.995,0.82033,0.61683,0.28424,1.06572,0.0002378,0.0002378,0.0002378
91,139.038,0.34413,0.27417,0.86385,0.99116,1,0.995,0.81525,0.63018,0.28262,1.05843,0.000218,0.000218,0.000218
92,140.447,0.3018,0.23524,0.83572,0.99107,1,0.995,0.825,0.65035,0.31455,1.06855,0.0001982,0.0001982,0.0001982
93,141.761,0.30422,0.23737,0.81741,0.99081,1,0.995,0.81525,0.65579,0.28505,1.07759,0.0001784,0.0001784,0.0001784
94,143.097,0.29503,0.23541,0.80246,0.9907,1,0.995,0.7913,0.67484,0.29754,1.09198,0.0001586,0.0001586,0.0001586
